plotid,quadrant,layer,plantid,percent_cover,date
1caa,2,ground,HYPEAND,0.1,22-05-2024
1caa,2,ground,EPILPAR,0.1,22-05-2024
1caa,2,ground,CASTSAV,1,22-05-2024
1caa,2,ground,BETUPUB,0.1,22-05-2024
1caa,2,ground,CIRSSPP,0.1,22-05-2024
1caa,2,ground,DRYODIL,1,22-05-2024
1caa,2,shrub,DIGIPUR,0.1,22-05-2024
1caa,2,shrub,JACOVUL,1,22-05-2024
1caa,2,shrub,ACERPSE,10,22-05-2024
1caa,2,shrub,CASTSAV,5,22-05-2024
1caa,2,shrub,DRYODIL,0.1,22-05-2024
1caa,2,shrub,BETUPEN,0.1,22-05-2024
1caa,3,ground,DIGIPUR,10,22-05-2024
1caa,3,ground,RUBUSPP,5,22-05-2024
1caa,3,ground,ATHYFIL,2,22-05-2024
1caa,3,ground,HYACNON,15,22-05-2024
1caa,3,ground,CASTSAV,10,22-05-2024
1caa,3,ground,JACOVUL,1,22-05-2024
1caa,3,ground,BETUPEN,2,22-05-2024
1caa,3,ground,ACERPSE,2,22-05-2024
1caa,3,ground,DRYODIL,1,22-05-2024
1caa,3,ground,VIOLSPP,0.1,22-05-2024
1caa,3,shrub,CASTSAV,15,22-05-2024
1caa,3,shrub,ACERPSE,5,22-05-2024
1caa,3,shrub,BETUPEN,2,22-05-2024
1caa,3,shrub,DIGIPUR,1,22-05-2024
1caa,3,shrub,JACOVUL,0.1,22-05-2024
1caa,4,ground,HYACNON,60,22-05-2024
1caa,4,ground,HOLCLAN,5,22-05-2024
1caa,4,ground,ATHYFIL,15,22-05-2024
1caa,4,ground,DIGIPUR,2,22-05-2024
1caa,4,ground,BETUPEN,2,22-05-2024
1caa,4,ground,RUBUSPP,1,22-05-2024
1caa,4,ground,DRYODIL,1,22-05-2024
1caa,4,ground,CASTSAV,5,22-05-2024
1caa,4,ground,ACERPSE,5,22-05-2024
1caa,4,ground,TEUCSCO,0.1,22-05-2024
1caa,4,ground,JUNCSPP,0.1,22-05-2024
1caa,4,ground,VIOLSPP,0.1,22-05-2024
1caa,4,ground,EPILPAR,0.1,22-05-2024
1caa,4,ground,SCRONOD,0.1,22-05-2024
1caa,4,ground,RANUREP,0.1,22-05-2024
1caa,4,ground,SILEDIO,0.1,22-05-2024
1caa,4,shrub,ACERPSE,5,22-05-2024
1caa,4,shrub,CASTSAV,5,22-05-2024
1caa,4,shrub,BETUPEN,5,22-05-2024
1caa,4,shrub,DIGIPUR,1,22-05-2024
1cab,1,ground,GAULSHA,10,23-05-2024
1cab,1,ground,RUBUSPP,2,23-05-2024
1cab,1,ground,HYACNON,15,23-05-2024
1cab,1,ground,CASTSAV,0.1,23-05-2024
1cab,1,ground,PTERAQU,5,23-05-2024
1cab,1,shrub,GAULSHA,10,23-05-2024
1cab,1,shrub,RUBUSPP,0.1,23-05-2024
1cab,1,shrub,PTERAQU,1,23-05-2024
1cab,1,shrub,CASTSAV,10,23-05-2024
1cab,2,ground,RUBUSPP,5,23-05-2024
1cab,2,ground,PTERAQU,1,23-05-2024
1cab,2,ground,RHODPON,5,23-05-2024
1cab,2,ground,CASTSAV,2,23-05-2024
1cab,2,ground,HYACNON,0.1,23-05-2024
1cab,2,shrub,CASTSAV,15,23-05-2024
1cab,2,shrub,RHODPON,5,23-05-2024
1cab,3,ground,PTERAQU,5,23-05-2024
1cab,3,ground,RUBUSPP,1,23-05-2024
1cab,3,ground,CASTSAV,1,23-05-2024
1cab,3,ground,HYACNON,2,23-05-2024
1cab,3,ground,GAULSHA,15,23-05-2024
1cab,3,shrub,GAULSHA,10,23-05-2024
1cab,3,shrub,CASTSAV,10,23-05-2024
1cab,3,shrub,PTERAQU,0.1,23-05-2024
1cab,4,ground,GAULSHA,90,23-05-2024
1cab,4,ground,PTERAQU,2,23-05-2024
1cab,4,ground,HYACNON,5,23-05-2024
1cab,4,ground,RUBUSPP,2,23-05-2024
1cab,4,shrub,GAULSHA,80,23-05-2024
1cab,4,shrub,CASTSAV,15,23-05-2024
1cab,4,shrub,BETUSPP,5,23-05-2024
1cab,4,shrub,PTERAQU,0.1,23-05-2024
1cab,4,shrub,RUBUSPP,1,23-05-2024
